ID;CODE;NAME;TRN_TYPE_CATEGORY
47;240;Зарезервировано (исп. в АСКП для отмены продажи);1
48;15;Выключение устройства;1
49;22;Проход по UltraLight;1
50;24;Аннулирование UltraLight по стоп-листу;19
51;33;Срыв прохода по Ultralight;1
52;40;Проход по БСК;1
53;41;Аннулирование БСК;19
54;42;Техническая БСК;1
55;44;Срыв прохода по БСК;1
56;46;Пересадка по Ultralight;1
57;47;Срыв пересадки по Ultralight;1
58;48;Пересадка с МГТ по Ultralight;1
59;49;Срыв пересадки по комплексному билету Ultralight;1
60;50;Первый проход по ЭК;1
61;51;Аннулирование ЭК;19
62;52;Срыв первого прохода по ЭК;1
63;53;Пересадка ММ-ММТС по Classic, в т.ч.по ЭК;1
64;54;Срыв пересадки ММ-ММТС по Classic, в т.ч.по ЭК;1
65;55;Пересадка ММ-МГТ/МГТ-МГТ по ЭК;1
66;56;Срыв пересадки ММ-МГТ/МГТ-МГТ по ЭК;1
67;57;Пересадка МГТ-ММ/МГТ-МГТ по Classic;1
68;58;Срыв пересадки МГТ-ММ/МГТ-МГТ по Classic;1
69;59;Проход по банковской карте;2
70;337;Транзакция выхода БСК Classic;1
71;338;Транзакция выхода БСК Ultralight;1
72;63;Проход по банковской карте с подписью;2
75;65;Проход по банковской карте\виртуальной тройке;2
87;66;Проход по виртуальной тройке;2
94;62;Проход по банковской карте (ex 59);2
116;68;Транзитный проход;1
126;69;Проход по банковской карте;2
127;60;Проход по ББК МГТ;2
128;61;Проход по ББК МГТ (ех.60);2
